> Output metrics for KIDSpec Simulation of object HD212442

Date run: 2022-03-18 13:43:12.343002 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 60 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

KIDSpec grating incidence angle: 25.0 deg 
KIDSpec grating blaze angle: 25.0 deg 
KIDSpec grating grooves: 241.5 /mm 

Number of spectral pixels in each arm: 3200 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 30 
Number of dead spectal pixels in KIDSpec: 0 
MKID energy resolution at fiducial point standard deviation for KIDSpec: 0.00 

Simulation spectrum magnitudes:
U --> N/A 
B --> 7.944673698523132 
V --> 7.383696992299125 
R --> 7.277971990081985 
I --> 7.283960993379061 
Z --> 7.16397736429389 
Y --> 7.1436008017933625 
J --> 6.522886588640718 
H --> N/A 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 10 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 4278 - 5878 
Recreated spectrum resolution average: 5078 +/- 799 
Average residuals: (7.374 +/- 2.591)% 
R value: 0.965 
Average SNR: 1087.200 +/- 0.000 
Percentage of photons which were misidentified (total): 0.00017873
Percentage of photons which were misidentified (average per pixel): 0.00000966

Simulation run duration: 0:06:34.201312 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 105 :   5164942 / 60000 photons
Pixel Number 106 :   5062229 / 60000 photons
Pixel Number 107 :   5131466 / 60000 photons
Pixel Number 108 :   5084193 / 60000 photons
Pixel Number 109 :   5179488 / 60000 photons
Pixel Number 110 :   4995196 / 60000 photons
Pixel Number 111 :   5152314 / 60000 photons
Pixel Number 112 :   5000534 / 60000 photons
Pixel Number 113 :   5216731 / 60000 photons
Pixel Number 114 :   5122441 / 60000 photons
Pixel Number 115 :   5134322 / 60000 photons
Pixel Number 116 :   5128989 / 60000 photons
Pixel Number 117 :   5316370 / 60000 photons
Pixel Number 118 :   5035717 / 60000 photons
Pixel Number 119 :   5221124 / 60000 photons
Pixel Number 120 :   5045770 / 60000 photons
Pixel Number 121 :   5261126 / 60000 photons
Pixel Number 122 :   5160546 / 60000 photons
Pixel Number 123 :   5160106 / 60000 photons
Pixel Number 124 :   5171947 / 60000 photons
Pixel Number 125 :   5177157 / 60000 photons
Pixel Number 126 :   5184245 / 60000 photons
Pixel Number 127 :   5380167 / 60000 photons
Pixel Number 128 :   5104147 / 60000 photons
Pixel Number 129 :   5308213 / 60000 photons
Pixel Number 130 :   5212813 / 60000 photons
Pixel Number 131 :   5220113 / 60000 photons
Pixel Number 132 :   5217132 / 60000 photons
Pixel Number 133 :   5224856 / 60000 photons
Pixel Number 134 :   5198922 / 60000 photons
Pixel Number 135 :   5272271 / 60000 photons
Pixel Number 136 :   5126839 / 60000 photons
Pixel Number 137 :   5333070 / 60000 photons
Pixel Number 138 :   5328324 / 60000 photons
Pixel Number 139 :   5250123 / 60000 photons
Pixel Number 140 :   5270581 / 60000 photons
Pixel Number 141 :   5277473 / 60000 photons
Pixel Number 142 :   5274852 / 60000 photons
Pixel Number 143 :   5380661 / 60000 photons
Pixel Number 144 :   5190675 / 60000 photons
Pixel Number 145 :   5405353 / 60000 photons
Pixel Number 146 :   5305334 / 60000 photons
Pixel Number 147 :   5314603 / 60000 photons
Pixel Number 148 :   5401027 / 60000 photons
Pixel Number 149 :   5314352 / 60000 photons
Pixel Number 150 :   5322416 / 60000 photons
Pixel Number 151 :   5432719 / 60000 photons
Pixel Number 152 :   5248157 / 60000 photons
Pixel Number 153 :   5445068 / 60000 photons
