obs_wl_air(nm),intens,Aki(s^-1),Acc,Type,
"=""572.356""","=""15""","=""8.3e+03""",C,,
"=""572.65878""","=""20""","=""""",,,
"=""573.086""","=""4""","=""""",,,
"=""574.902""","=""5""","=""""",,,
"=""575.057""","=""10""","=""""",,,
"=""575.433""","=""1""","=""""",,,
"=""575.504""","=""2""","=""""",,,
"=""576.28954""","=""4""","=""""",,,
"=""578.38938""","=""10""","=""2.94e+05""",D+,,
"=""578.729""","=""6""","=""3.1e+03""",D+,,
"=""578.824""","=""7""","=""2.07e+05""",D+,,
"=""579.99""","=""""","=""""",,,
"=""580.117""","=""2""","=""""",,,
"=""580.554126""","=""20""","=""9.0e+05""",D+,,
"=""580.69""","=""""","=""""",,,
"=""581.080""","=""8""","=""1.75e+05""",D+,,
"=""581.57""","=""""","=""""",,,
"=""582.01179""","=""15""","=""""",,,
"=""582.351""","=""3""","=""""",,,
"=""582.45185""","=""40""","=""""",,,
"=""582.707""","=""20""","=""7.8e+05""",C,,
"=""583.285661""","=""100""","=""""",,,
"=""583.47""","=""""","=""""",,,
"=""584.154""","=""1""","=""""",,,
"=""584.966""","=""2""","=""""",,,
"=""585.28750""","=""5""","=""""",,,
"=""585.52""","=""""","=""""",,,
"=""585.732""","=""1""","=""""",,,
"=""586.675017""","=""50""","=""1.97e+05""",C+,,
"=""587.091599""","=""3000""","=""7.1e+05""",C,,
"=""587.990035""","=""50""","=""5.5e+04""",C+,,
"=""588.118""","=""2""","=""""",,,
"=""588.76868""","=""3""","=""""",,,
"=""590.40""","=""""","=""""",,,
"=""591.97""","=""""","=""""",,,
"=""594.213""","=""2""","=""""",,,
"=""594.545239""","=""5""","=""""",,,
"=""595.514""","=""2""","=""""",,,
"=""595.68""","=""""","=""""",,,
"=""597.764573""","=""4""","=""""",,,
"=""599.385020""","=""60""","=""5.0e+04""",B+,,
"=""600.219""","=""3""","=""""",,,
"=""601.20624""","=""50*""","=""""",,,
"=""601.21555""","=""50*""","=""2.39e+06""",D+,,
"=""603.583389""","=""15""","=""""",,,
"=""604.935""","=""3""","=""""",,,
"=""605.612628""","=""60""","=""6.5e+06""",D+,,
"=""607.525510""","=""20""","=""1.73e+06""",D+,,
"=""608.286117""","=""40""","=""7.1e+06""",D+,,
"=""608.800""","=""2""","=""""",,,
"=""609.18275""","=""6""","=""""",,,
"=""609.431""","=""2""","=""""",,,
"=""610.386""","=""1""","=""""",,,
"=""610.83186""","=""3""","=""""",,,
"=""611.523""","=""3""","=""""",,,
"=""615.140667""","=""20""","=""""",,,
"=""616.36760""","=""7""","=""""",,,
"=""617.208""","=""2""","=""""",,,
"=""622.273337""","=""20""","=""1.59e+06""",D+,,
"=""623.635161""","=""30""","=""1.49e+06""",C,,
"=""624.140471""","=""10""","=""2.99e+05""",D+,,
"=""626.733""","=""2""","=""""",,,
"=""634.668195""","=""20""","=""6.2e+05""",D+,,
"=""635.191539""","=""8""","=""2.02e+05""",D+,,
"=""636.83212""","=""4""","=""8.7e+04""",D+,,
"=""637.319""","=""1""","=""""",,,
"=""637.359016""","=""30""","=""9.2e+05""",D+,,
"=""641.01725""","=""5""","=""""",,,
"=""641.567923""","=""20""","=""6.1e+05""",D+,,
"=""642.102700""","=""100""","=""3.79e+06""",C+,,
"=""644.879938""","=""10""","=""3.08e+05""",D+,,
"=""645.419""","=""1""","=""7.7e+04""",D,,
"=""645.628888""","=""200""","=""6.65e+06""",B+,,
"=""648.806917""","=""15""","=""8.9e+05""",D+,,
"=""650.490424""","=""10""","=""3.3e+05""",D,,
"=""650.83693""","=""3""","=""1.05e+05""",D+,,
"=""653.65517""","=""8""","=""9.6e+05""",D,,
"=""655.55342""","=""2""","=""""",,,
"=""655.569463""","=""6""","=""3.2e+05""",D,,
"=""657.642040""","=""20""","=""7.9e+05""",C,,
"=""660.512""","=""2""","=""""",,,
"=""665.223475""","=""40""","=""2.18e+06""",C+,,
"=""669.922960""","=""60""","=""1.68e+06""",C+,,
"=""672.33440""","=""4""","=""1.31e+05""",D+,,
"=""674.00985""","=""20""","=""6.7e+05""",D+,,
"=""676.447""","=""1""","=""""",,,
"=""677.615""","=""3""","=""""",,,
"=""678.921""","=""1*""","=""""",,,
"=""678.921""","=""1*""","=""""",,,
"=""679.54104""","=""4""","=""1.31e+05""",D,,
"=""681.310882""","=""50""","=""2.57e+06""",D+,,
"=""682.90888""","=""8""","=""1.77e+06""",D+,,
"=""684.64003""","=""20""","=""3.3e+05""",D+,,
"=""686.96308""","=""20""","=""2.22e+06""",D+,,
"=""690.422""","=""15""","=""""",,,
"=""690.46787""","=""100""","=""1.59e+06""",C+,,
"=""691.129""","=""2*""","=""""",,,
"=""691.129""","=""2*""","=""""",,,
"=""693.530""","=""1h""","=""""",,,
"=""699.305""","=""2""","=""""",,,
"=""700.079""","=""7""","=""4.1e+05""",D+,,
"=""705.727""","=""10""","=""1.60e+06""",D,,
"=""707.736""","=""0""","=""""",,,
"=""708.633""","=""1""","=""""",,,
"=""708.951""","=""1h""","=""""",,,
"=""713.367""","=""1""","=""""",,,
"=""714.345""","=""8""","=""7.7e+04""",D,,
"=""715.221""","=""5*""","=""""",,,
"=""715.221""","=""5*""","=""3.32e+05""",C,,
"=""715.221""","=""5*""","=""""",,,
"=""718.047""","=""3""","=""""",,,
"=""720.059""","=""2h""","=""""",,,
"=""720.887""","=""1""","=""""",,,
"=""722.4103""","=""100""","=""2.98e+06""",C+,,
"=""726.808""","=""2""","=""""",,,
"=""728.7262""","=""80""","=""2.97e+06""",D+,,
"=""730.125""","=""5""","=""""",,,
"=""734.116""","=""2""","=""""",,,
"=""735.996""","=""5""","=""7.8e+05""",D,,
"=""736.143""","=""1""","=""""",,,
"=""736.680""","=""2h""","=""""",,,
"=""736.702""","=""2h""","=""""",,,
"=""740.270""","=""1h""","=""""",,,
"=""740.599""","=""1""","=""""",,,
"=""742.554""","=""60""","=""2.55e+06""",D+,,
"=""746.501""","=""3h""","=""""",,,
"=""748.6862""","=""100""","=""2.89e+06""",C+,,
"=""749.358""","=""20""","=""""",,,
"=""749.415""","=""30""","=""6.1e+05""",D+,,
"=""758.74136""","=""1000""","=""4.310e+07""",A+,,
"=""760.15457""","=""2000""","=""2.732e+07""",AA,,
"=""761.564""","=""1""","=""""",,,
