element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Th,1,"=""454.832604""","=""0.000025""","=""260""","=""""",,"=""3""","=""4""",,
Th,1,"=""454.83812""","=""0.00004""","=""64""","=""""",,"=""5""","=""5""",,
Th,1,"=""454.89806""","=""0.00005""","=""43""","=""""",,"=""4""","=""4""",,
Th,1,"=""454.90521""","=""0.00021""","=""7""","=""""",,"=""4""","=""5""",,
Th,1,"=""454.96043""","=""0.00005""","=""48""","=""""",,"=""5""","=""4""",,
Th,1,"=""454.96262""","=""0.00004""","=""94""","=""""",,"=""2""","=""2""",,
Th,1,"=""454.98341""","=""0.00004""","=""82""","=""""",,"=""2""","=""2""",,
Th,1,"=""455.01844""","=""0.00006""","=""32""","=""""",,"=""2""","=""3""",,
Th,1,"=""455.147361""","=""0.000021""","=""480""","=""""",,"=""2""","=""3""",,
Th,1,"=""455.15981""","=""0.00006""","=""40""","=""""",,"=""3""","=""3""",,
Th,1,"=""455.17069""","=""0.00005""","=""49""","=""""",,"=""2""","=""2""",,
Th,1,"=""455.18197""","=""0.00004""","=""71""","=""""",,"=""1""","=""2""",,
Th,1,"=""455.215348""","=""0.000012""","=""810""","=""""",,"=""4""","=""3""",,
Th,1,"=""455.22247""","=""0.00003""","=""150""","=""""",,"=""4""","=""4""",,
Th,1,"=""455.24469""","=""0.00006""","=""27""","=""""",,"=""5""","=""4""",,
Th,1,"=""455.30656""","=""0.00008""","=""16""","=""""",,"=""2""","=""2""",,
Th,1,"=""455.32639""","=""0.00005""","=""44""","=""""",,"=""6""","=""5""",,
Th,1,"=""455.34741""","=""0.00021""","=""11""","=""""",,"=""4""","=""5""",,
Th,1,"=""455.38749""","=""0.00006""","=""20""","=""""",,"=""6""","=""5""",,
Th,1,"=""455.51434""","=""0.00004""","=""82""","=""""",,"=""4""","=""4""",,
Th,1,"=""455.53063""","=""0.00006""","=""29""","=""""",,"=""5""","=""5 or 6""",,
Th,1,"=""455.57758""","=""0.00003""","=""140bl""","=""""",,"=""4""","=""3 or 4""",,
Th,1,"=""455.581260""","=""0.000005""","=""3100""","=""""",,"=""1""","=""1""",,
Th,1,"=""455.590455""","=""0.000021""","=""450""","=""""",,"=""4""","=""3""",,
Th,1,"=""455.62061""","=""0.00004""","=""66""","=""""",,"=""2""","=""3""",,
Th,1,"=""455.63872""","=""0.00003""","=""130""","=""""",,"=""1""","=""1 or 2""",,
Th,1,"=""455.834577""","=""0.000017""","=""850""","=""""",,"=""3""","=""4""",,
Th,1,"=""455.85261""","=""0.00006""","=""29""","=""""",,"=""3""","=""4""",,
Th,1,"=""455.86215""","=""0.00006""","=""24""","=""""",,"=""1""","=""1""",,
Th,1,"=""455.90570""","=""0.00003""","=""150""","=""""",,"=""5""","=""5""",,
Th,1,"=""455.91079""","=""0.00021""","=""3""","=""""",,"=""3""","=""2""",,
Th,1,"=""455.93120""","=""0.00003""","=""170""","=""""",,"=""2""","=""2""",,
Th,1,"=""455.93961""","=""0.00021""","=""7""","=""""",,"=""4""","=""5""",,
Th,1,"=""455.96557""","=""0.00006""","=""38""","=""""",,"=""3""","=""4""",,
Th,1,"=""456.00671""","=""0.00021""","=""11""","=""""",,"=""1""","=""2""",,
Th,1,"=""456.06637""","=""0.00006""","=""37""","=""""",,"=""2""","=""2""",,
Th,1,"=""456.09810""","=""0.00021""","=""7""","=""""",,"=""3""","=""4""",,
Th,1,"=""456.12269""","=""0.00003""","=""200""","=""""",,"=""2""","=""2""",,
Th,1,"=""456.134768""","=""0.000008""","=""1300""","=""""",,"=""2""","=""1""",,
Th,1,"=""456.14013""","=""0.00004""","=""110""","=""""",,"=""3""","=""2""",,
Th,1,"=""456.149322""","=""0.000025""","=""290""","=""""",,"=""4""","=""3""",,
Th,1,"=""456.15136""","=""0.00005""","=""45""","=""""",,"=""4""","=""4""",,
Th,1,"=""456.16116""","=""0.00005""","=""52""","=""""",,"=""5""","=""6""",,
Th,1,"=""456.17055""","=""0.00008""","=""16""","=""""",,"=""2""","=""2""",,
Th,1,"=""456.208028""","=""0.000021""","=""400""","=""""",,"=""4""","=""5""",,
Th,1,"=""456.22514""","=""0.00004""","=""67""","=""""",,"=""3""","=""4""",,
Th,1,"=""456.24756""","=""0.00004""","=""97""","=""""",,"=""5""","=""5""",,
Th,1,"=""456.27248""","=""0.00006""","=""22""","=""""",,"=""3""","=""3""",,
Th,1,"=""456.366101""","=""0.000006""","=""1500""","=""""",,"=""4""","=""3""",,
Th,1,"=""456.483541""","=""0.000019""","=""560""","=""""",,"=""3""","=""3""",,
Th,1,"=""456.57793""","=""0.00004""","=""120""","=""""",,"=""5""","=""5""",,
Th,1,"=""456.58098""","=""0.00004""","=""100""","=""""",,"=""1""","=""1""",,
Th,1,"=""456.64304""","=""0.00006""","=""19""","=""""",,"=""3""","=""4""",,
Th,1,"=""456.67115""","=""0.00005""","=""52""","=""""",,"=""4""","=""4""",,
Th,1,"=""456.69882""","=""0.00004""","=""67""","=""""",,"=""2""","=""3""",,
Th,1,"=""456.724022""","=""0.000006""","=""2000""","=""""",,"=""4""","=""5""",,
Th,1,"=""456.78561""","=""0.00021""","=""15""","=""""",,"=""3""","=""3""",,
Th,1,"=""456.814258""","=""0.000019""","=""650""","=""""",,"=""1""","=""2""",,
Th,1,"=""456.85235""","=""0.00003""","=""250""","=""""",,"=""4""","=""4""",,
Th,1,"=""456.914768""","=""0.000023""","=""380""","=""""",,"=""4""","=""5""",,
Th,1,"=""456.95718""","=""0.00006""","=""35*""","=""""",,"=""2""","=""3""",,
Th,1,"=""456.96340""","=""0.00004""","=""68""","=""""",,"=""3""","=""3""",,
Th,1,"=""456.97366""","=""0.00003""","=""190""","=""""",,"=""2""","=""1""",,
Th,1,"=""457.05510""","=""0.00021""","=""7""","=""""",,"=""2""","=""2""",,
Th,1,"=""457.06488""","=""0.00006""","=""29*""","=""""",,"=""4""","=""4""",,
Th,1,"=""457.06488""","=""0.00006""","=""29*""","=""""",,"=""3""","=""4""",,
Th,1,"=""457.097218""","=""0.000004""","=""3400""","=""""",,"=""5""","=""6""",,
Th,1,"=""457.121949""","=""0.000019""","=""630""","=""""",,"=""3""","=""2""",,
Th,1,"=""457.15311""","=""0.00004""","=""100""","=""""",,"=""3""","=""4""",,
Th,1,"=""457.19579""","=""0.00003""","=""130""","=""""",,"=""5""","=""4""",,
Th,1,"=""457.23274""","=""0.00023""","=""9""","=""""",,"=""4""","=""4""",,
Th,1,"=""457.26390""","=""0.00006""","=""39""","=""""",,"=""2""","=""3""",,
Th,1,"=""457.34331""","=""0.00021""","=""11""","=""""",,"=""2""","=""1""",,
Th,1,"=""457.35733""","=""0.00006""","=""34""","=""""",,"=""5""","=""4""",,
Th,1,"=""457.37694""","=""0.00006""","=""20""","=""""",,"=""3""","=""3""",,
Th,1,"=""457.40279""","=""0.00003""","=""240""","=""""",,"=""3""","=""3""",,
Th,1,"=""457.43058""","=""0.00003""","=""180""","=""""",,"=""6""","=""6""",,
Th,1,"=""457.52506""","=""0.00003""","=""210""","=""""",,"=""5""","=""5""",,
Th,1,"=""457.58210""","=""0.00021""","=""3""","=""""",,"=""2""","=""2""",,
Th,1,"=""457.62718""","=""0.00006""","=""34""","=""""",,"=""2""","=""2""",,
Th,1,"=""457.64672""","=""0.00004""","=""80""","=""""",,"=""3""","=""2""",,
Th,1,"=""457.65424""","=""0.00006""","=""32""","=""""",,"=""2""","=""3""",,
Th,1,"=""457.67405""","=""0.00004""","=""66""","=""""",,"=""1""","=""2""",,
Th,1,"=""457.69644""","=""0.00008""","=""16""","=""""",,"=""5""","=""6""",,
Th,1,"=""457.71312""","=""0.00006""","=""25""","=""""",,"=""4""","=""4""",,
Th,1,"=""457.75822""","=""0.00003""","=""170""","=""""",,"=""4""","=""4""",,
Th,1,"=""457.77638""","=""0.00006""","=""37""","=""""",,"=""4""","=""4""",,
Th,1,"=""457.782313""","=""0.000023""","=""330""","=""""",,"=""2""","=""1""",,
Th,1,"=""457.79064""","=""0.00003""","=""260""","=""""",,"=""1""","=""2""",,
Th,1,"=""457.87782""","=""0.00021""","=""18""","=""""",,"=""4""","=""4""",,
Th,1,"=""457.88196""","=""0.00004""","=""100""","=""""",,"=""7""","=""6 or 7""",,
Th,1,"=""457.90285""","=""0.00004""","=""65""","=""""",,"=""1""","=""2""",,
Th,1,"=""457.93432""","=""0.00006""","=""24""","=""""",,"=""2""","=""1""",,
Th,1,"=""457.93683""","=""0.00004""","=""73""","=""""",,"=""6""","=""5""",,
Th,1,"=""457.96413""","=""0.00004""","=""84""","=""""",,"=""4""","=""5""",,
Th,1,"=""457.982709""","=""0.000010""","=""890""","=""""",,"=""4""","=""4""",,
Th,1,"=""458.04075""","=""0.00004""","=""76""","=""""",,"=""1""","=""2""",,
Th,1,"=""458.09810""","=""0.00021""","=""11""","=""""",,"=""3""","=""3""",,
Th,1,"=""458.117315""","=""0.000017""","=""720""","=""""",,"=""2""","=""1""",,
Th,1,"=""458.14287""","=""0.00004""","=""79""","=""""",,"=""1""","=""0""",,
Th,1,"=""458.30620""","=""0.00006""","=""25""","=""""",,"=""5""","=""4""",,
Th,1,"=""458.35140""","=""0.00021""","=""3""","=""""",,"=""1""","=""2""",,
Th,1,"=""458.38745""","=""0.00004""","=""61""","=""""",,"=""5""","=""4 or 5""",,
Th,1,"=""458.40413""","=""0.00021""","=""12""","=""""",,"=""5""","=""5 or 6""",,
Th,1,"=""458.42455""","=""0.00004""","=""96""","=""""",,"=""3""","=""4""",,
Th,1,"=""458.42990""","=""0.00006""","=""27""","=""""",,"=""4""","=""4""",,
Th,1,"=""458.51750""","=""0.00021""","=""7""","=""""",,"=""1""","=""2""",,
Th,1,"=""458.60386""","=""0.00004""","=""61""","=""""",,"=""2""","=""3""",,
Th,1,"=""458.60625""","=""0.00004""","=""92""","=""""",,"=""4""","=""3""",,
Th,1,"=""458.73320""","=""0.00021""","=""11""","=""""",,"=""2""","=""3""",,
Th,1,"=""458.83500""","=""0.00021""","=""380""","=""""",,"=""2""","=""3""",,
Th,1,"=""458.842616""","=""0.000004""","=""3800""","=""""",,"=""4""","=""5""",,
Th,1,"=""458.88009""","=""0.00008""","=""15""","=""""",,"=""1""","=""2""",,
Th,1,"=""458.88437""","=""0.00006""","=""23""","=""""",,"=""2""","=""3""",,
Th,1,"=""458.93280""","=""0.00021""","=""18""","=""""",,"=""4""","=""5""",,
Th,1,"=""458.95260""","=""0.00021""","=""11""","=""""",,"=""5""","=""4""",,
Th,1,"=""458.95985""","=""0.00006""","=""34""","=""""",,"=""3""","=""3""",,
Th,1,"=""459.01561""","=""0.00006""","=""25""","=""""",,"=""2""","=""2""",,
Th,1,"=""459.15785""","=""0.00006""","=""25""","=""""",,"=""4""","=""5""",,
Th,1,"=""459.19721""","=""0.00021""","=""3""","=""""",,"=""3""","=""4""",,
Th,1,"=""459.20955""","=""0.00006""","=""33""","=""""",,"=""4""","=""4""",,
Th,1,"=""459.25146""","=""0.00005""","=""43*""","=""""",,"=""2""","=""3""",,
Th,1,"=""459.25146""","=""0.00005""","=""43*""","=""""",,"=""2""","=""3""",,
Th,1,"=""459.266606""","=""0.000005""","=""2800""","=""""",,"=""2""","=""3""",,
Th,1,"=""459.27706""","=""0.00006""","=""18""","=""""",,"=""4""","=""3""",,
Th,1,"=""459.28512""","=""0.00021""","=""3""","=""""",,"=""3""","=""2""",,
Th,1,"=""459.28739""","=""0.00021""","=""15""","=""""",,"=""1""","=""1""",,
Th,1,"=""459.29574""","=""0.00003""","=""220""","=""""",,"=""5""","=""5""",,
Th,1,"=""459.33602""","=""0.00006""","=""19""","=""""",,"=""4""","=""5""",,
Th,1,"=""459.35134""","=""0.00008""","=""15*""","=""""",,"=""2""","=""3""",,
Th,1,"=""459.35239""","=""0.00021""","=""160""","=""""",,"=""3""","=""3""",,
Th,1,"=""459.364372""","=""0.000017""","=""670""","=""""",,"=""3""","=""2""",,
Th,1,"=""459.40460""","=""0.00021""","=""7""","=""""",,"=""1""","=""2""",,
Th,1,"=""459.42600""","=""0.00021""","=""7""","=""""",,"=""4""","=""5""",,
Th,1,"=""459.542066""","=""0.000003""","=""8700""","=""""",,"=""2""","=""3""",,
Th,1,"=""459.59020""","=""0.00021""","=""11""","=""""",,"=""2""","=""1""",,
Ar,1,"=""459.6097""","=""0.0010""","=""15""","=""9.5e+04""",B,"=""1""","=""1""",,
Th,1,"=""459.61378""","=""0.00006""","=""18""","=""""",,"=""1""","=""0""",,
Th,1,"=""459.61757""","=""0.00004""","=""110""","=""""",,"=""5""","=""5""",,
Th,1,"=""459.630781""","=""0.000019""","=""590""","=""""",,"=""3""","=""2""",,
Th,1,"=""459.72430""","=""0.00021""","=""15""","=""""",,"=""4""","=""3""",,
Th,1,"=""459.84355""","=""0.00004""","=""86""","=""""",,"=""1""","=""2""",,
Th,1,"=""459.88881""","=""0.00021""","=""15""","=""""",,"=""4""","=""3""",,
Th,1,"=""459.89401""","=""0.00004""","=""78""","=""""",,"=""2""","=""2""",,
Th,1,"=""459.92990""","=""0.00021""","=""12""","=""""",,"=""2""","=""2""",,
Th,1,"=""459.94256""","=""0.00008""","=""16""","=""""",,"=""1""","=""1""",,
Th,1,"=""459.97046""","=""0.00003""","=""260""","=""""",,"=""1""","=""1""",,
Th,1,"=""460.08717""","=""0.00003""","=""140""","=""""",,"=""6""","=""5""",,
Th,1,"=""460.09708""","=""0.00021""","=""14""","=""""",,"=""1""","=""2""",,
Th,1,"=""460.11021""","=""0.00021""","=""15""","=""""",,"=""3""","=""4""",,
Th,1,"=""460.13455""","=""0.00006""","=""30""","=""""",,"=""6""","=""5""",,
Th,1,"=""460.15498""","=""0.00008""","=""16""","=""""",,"=""3""","=""4""",,
Th,1,"=""460.15674""","=""0.00008""","=""16""","=""""",,"=""2""","=""1""",,
Th,1,"=""460.24205""","=""0.00005""","=""42""","=""""",,"=""5""","=""5""",,
Th,1,"=""460.27950""","=""0.00021""","=""7""","=""""",,"=""4""","=""3""",,
Th,1,"=""460.31131""","=""0.00021""","=""190""","=""""",,"=""3""","=""4""",,
Th,1,"=""460.314452""","=""0.000011""","=""990""","=""""",,"=""2""","=""1""",,
Th,1,"=""460.33686""","=""0.00005""","=""55""","=""""",,"=""4""","=""4""",,
Th,1,"=""460.34340""","=""0.00021""","=""3""","=""""",,"=""4""","=""5""",,
Th,1,"=""460.35370""","=""0.00021""","=""7""","=""""",,"=""1""","=""1""",,
Th,1,"=""460.54283""","=""0.00019""","=""17""","=""""",,"=""2""","=""3""",,
Th,1,"=""460.58237""","=""0.00005""","=""47""","=""""",,"=""2""","=""3""",,
Th,1,"=""460.72241""","=""0.00021""","=""11""","=""""",,"=""4""","=""3""",,
Th,1,"=""460.73780""","=""0.00003""","=""290""","=""""",,"=""4""","=""4""",,
Th,1,"=""460.76600""","=""0.00004""","=""82""","=""""",,"=""5""","=""6""",,
Th,1,"=""460.78327""","=""0.00004""","=""76""","=""""",,"=""1""","=""2""",,
Th,1,"=""460.793472""","=""0.000013""","=""820""","=""""",,"=""3""","=""2""",,
Th,1,"=""460.83767""","=""0.00006""","=""27""","=""""",,"=""3""","=""3""",,
Th,1,"=""460.862004""","=""0.000019""","=""640""","=""""",,"=""3""","=""3""",,
Th,1,"=""460.91318""","=""0.00006""","=""25""","=""""",,"=""3""","=""2""",,
Th,1,"=""460.94391""","=""0.00021""","=""7""","=""""",,"=""3""","=""4""",,
Th,1,"=""460.95160""","=""0.00021""","=""7""","=""""",,"=""3""","=""3""",,
Th,1,"=""460.97960""","=""0.00021""","=""7""","=""""",,"=""3""","=""3""",,
Th,1,"=""461.00809""","=""0.00004""","=""120""","=""""",,"=""2""","=""2""",,
Th,1,"=""461.03070""","=""0.00021""","=""19""","=""""",,"=""3""","=""4""",,
Th,1,"=""461.04567""","=""0.00017""","=""28""","=""""",,"=""4""","=""5""",,
Th,1,"=""461.05345""","=""0.00006""","=""35""","=""""",,"=""4""","=""3""",,
Th,1,"=""461.062721""","=""0.000021""","=""460""","=""""",,"=""5""","=""5""",,
Th,1,"=""461.17582""","=""0.00004""","=""110""","=""""",,"=""6""","=""5""",,
Th,1,"=""461.254346""","=""0.000021""","=""450""","=""""",,"=""4""","=""5""",,
Th,1,"=""461.360441""","=""0.000017""","=""670""","=""""",,"=""2""","=""1""",,
Th,1,"=""461.41628""","=""0.00005""","=""49""","=""""",,"=""4""","=""3""",,
Th,1,"=""461.42784""","=""0.00006""","=""18""","=""""",,"=""2""","=""2""",,
Th,1,"=""461.502404""","=""0.000017""","=""740""","=""""",,"=""2""","=""1""",,
Th,1,"=""461.50811""","=""0.00006""","=""23""","=""""",,"=""4""","=""4""",,
Th,1,"=""461.533407""","=""0.000013""","=""830""","=""""",,"=""1""","=""1""",,
Th,1,"=""461.56707""","=""0.00005""","=""43""","=""""",,"=""2""","=""1""",,
Th,1,"=""461.58838""","=""0.00004""","=""87""","=""""",,"=""2""","=""2 or 3""",,
Th,1,"=""461.64524""","=""0.00004""","=""110""","=""""",,"=""3""","=""3""",,
Th,1,"=""461.72964""","=""0.00006""","=""34*""","=""""",,"=""6""","=""5""",,
Th,1,"=""461.72964""","=""0.00006""","=""34*""","=""""",,"=""4""","=""3""",,
Th,1,"=""461.73840""","=""0.00021""","=""11""","=""""",,"=""3""","=""2""",,
Th,1,"=""461.82580""","=""0.00009""","=""16""","=""""",,"=""3""","=""2""",,
Th,1,"=""461.89128""","=""0.00006""","=""20""","=""""",,"=""3""","=""4""",,
Th,1,"=""461.92231""","=""0.00021""","=""7""","=""""",,"=""5""","=""4""",,
Th,1,"=""461.96263""","=""0.00006""","=""38""","=""""",,"=""4""","=""5""",,
Th,1,"=""462.024084""","=""0.000023""","=""360""","=""""",,"=""2""","=""2""",,
Th,1,"=""462.04476""","=""0.00003""","=""300""","=""""",,"=""3""","=""3""",,
Th,1,"=""462.06743""","=""0.00005""","=""50""","=""""",,"=""3""","=""2""",,
Th,1,"=""462.07051""","=""0.00021""","=""12""","=""""",,"=""3""","=""4""",,
Th,1,"=""462.10738""","=""0.00003""","=""190""","=""""",,"=""2""","=""3""",,
Th,1,"=""462.116283""","=""0.000009""","=""1100""","=""""",,"=""4""","=""3""",,
Th,1,"=""462.16555""","=""0.00004""","=""87""","=""""",,"=""3""","=""3""",,
Th,1,"=""462.27415""","=""0.00006""","=""29""","=""""",,"=""5""","=""5""",,
Th,1,"=""462.31169""","=""0.00003""","=""160""","=""""",,"=""4""","=""3""",,
Th,1,"=""462.31729""","=""0.00006""","=""39""","=""""",,"=""2""","=""2""",,
Th,1,"=""462.35559""","=""0.00005""","=""53""","=""""",,"=""4""","=""5""",,
Th,1,"=""462.40480""","=""0.00006""","=""21""","=""""",,"=""5""","=""5""",,
Th,1,"=""462.431400""","=""0.000024""","=""310""","=""""",,"=""2""","=""2""",,
Th,1,"=""462.46776""","=""0.00004""","=""110*""","=""""",,"=""5""","=""5""",,
Th,1,"=""462.49417""","=""0.00021""","=""13""","=""""",,"=""3""","=""3""",,
Th,1,"=""462.52747""","=""0.00003""","=""160""","=""""",,"=""2""","=""3""",,
Th,1,"=""462.54938""","=""0.00003""","=""170""","=""""",,"=""2""","=""2""",,
Th,1,"=""462.58930""","=""0.00021""","=""8""","=""""",,"=""3""","=""2""",,
Th,1,"=""462.65211""","=""0.00021""","=""20""","=""""",,"=""3""","=""3""",,
Th,1,"=""462.70440""","=""0.00009""","=""16""","=""""",,"=""1""","=""2""",,
Th,1,"=""462.729790""","=""0.000015""","=""660""","=""""",,"=""2""","=""3""",,
Th,1,"=""462.75030""","=""0.00021""","=""12""","=""""",,"=""1""","=""2""",,
Th,1,"=""462.78644""","=""0.00004""","=""67""","=""""",,"=""4""","=""4""",,
Th,1,"=""462.820141""","=""0.000009""","=""1200""","=""""",,"=""4""","=""5""",,
Ar,1,"=""462.8441""","=""0.0010""","=""7""","=""3.83e+04""",B+,"=""1""","=""2""",,
Th,1,"=""462.85572""","=""0.00003""","=""130""","=""""",,"=""3""","=""3""",,
Th,1,"=""462.85853""","=""0.00004""","=""96""","=""""",,"=""4""","=""4""",,
Th,1,"=""462.91997""","=""0.00006""","=""36""","=""""",,"=""1""","=""2""",,
Th,1,"=""462.92878""","=""0.00006""","=""23""","=""""",,"=""3""","=""3""",,
Th,1,"=""463.01671""","=""0.00006""","=""25""","=""""",,"=""2""","=""3""",,
Th,1,"=""463.06396""","=""0.00005""","=""46""","=""""",,"=""4""","=""5""",,
Th,1,"=""463.10220""","=""0.00004""","=""100""","=""""",,"=""4""","=""4""",,
Th,1,"=""463.11304""","=""0.00006""","=""39""","=""""",,"=""2""","=""3""",,
Th,1,"=""463.164214""","=""0.000019""","=""570""","=""""",,"=""5""","=""4""",,
Th,1,"=""463.19011""","=""0.00021""","=""8""","=""""",,"=""2""","=""2""",,
Th,1,"=""463.20372""","=""0.00006""","=""21""","=""""",,"=""4""","=""4""",,
Th,1,"=""463.21387""","=""0.00006""","=""34""","=""""",,"=""3""","=""3""",,
Th,1,"=""463.21760""","=""0.00006""","=""28""","=""""",,"=""2""","=""2""",,
Th,1,"=""463.22941""","=""0.00021""","=""12""","=""""",,"=""4""","=""4""",,
Th,1,"=""463.361854""","=""0.000024""","=""360""","=""""",,"=""4""","=""3""",,
Th,1,"=""463.376581""","=""0.000011""","=""950""","=""""",,"=""2""","=""2""",,
Th,1,"=""463.40237""","=""0.00006""","=""30""","=""""",,"=""2""","=""3""",,
Th,1,"=""463.42271""","=""0.00021""","=""12""","=""""",,"=""2""","=""2""",,
Th,1,"=""463.46048""","=""0.00006""","=""37""","=""""",,"=""1""","=""2""",,
Th,1,"=""463.48091""","=""0.00006""","=""23""","=""""",,"=""5""","=""6""",,
Th,1,"=""463.6401""","=""0.0003""","=""6""","=""""",,"=""6""","=""6""",,
Th,1,"=""463.64806""","=""0.00009""","=""15""","=""""",,"=""6""","=""5""",,
Th,1,"=""463.67581""","=""0.00022""","=""16""","=""""",,"=""1""","=""1""",,
Th,1,"=""463.71892""","=""0.00004""","=""76""","=""""",,"=""5""","=""5""",,
Th,1,"=""463.79383""","=""0.00005""","=""51""","=""""",,"=""1""","=""1""",,
Th,1,"=""463.812593""","=""0.000022""","=""390""","=""""",,"=""3""","=""3""",,
Th,1,"=""463.85943""","=""0.00009""","=""17""","=""""",,"=""4""","=""3""",,
Th,1,"=""463.868473""","=""0.000006""","=""1400""","=""""",,"=""3""","=""3""",,
Th,1,"=""463.89174""","=""0.00006""","=""25""","=""""",,"=""2""","=""3""",,
Th,1,"=""463.91947""","=""0.00022""","=""15""","=""""",,"=""3""","=""2""",,
Th,1,"=""463.951881""","=""0.000022""","=""440""","=""""",,"=""4""","=""4""",,
Th,1,"=""463.97562""","=""0.00006""","=""19""","=""""",,"=""2""","=""2""",,
Th,1,"=""463.98541""","=""0.00003""","=""120""","=""""",,"=""4""","=""3""",,
Th,1,"=""463.989558""","=""0.000024""","=""300""","=""""",,"=""4""","=""4""",,
Th,1,"=""464.03960""","=""0.00022""","=""4""","=""""",,"=""4""","=""5""",,
Th,1,"=""464.10240""","=""0.00022""","=""8""","=""""",,"=""3""","=""4""",,
Th,1,"=""464.10753""","=""0.00006""","=""25""","=""""",,"=""4""","=""3""",,
Th,1,"=""464.122935""","=""0.000024""","=""300""","=""""",,"=""5""","=""5""",,
Th,1,"=""464.125367""","=""0.000019""","=""540""","=""""",,"=""3""","=""4""",,
Th,1,"=""464.15996""","=""0.00006""","=""32""","=""""",,"=""2""","=""2""",,
Th,1,"=""464.16871""","=""0.00022""","=""21""","=""""",,"=""5""","=""6""",,
Th,1,"=""464.28160""","=""0.00022""","=""12""","=""""",,"=""4""","=""3""",,
Th,1,"=""464.32660""","=""0.00022""","=""4""","=""""",,"=""2""","=""2""",,
Th,1,"=""464.355662""","=""0.000022""","=""400""","=""""",,"=""5""","=""4""",,
Th,1,"=""464.44950""","=""0.00022""","=""17""","=""""",,"=""1""","=""1""",,
Th,1,"=""464.470720""","=""0.000019""","=""520""","=""""",,"=""3""","=""2""",,
Th,1,"=""464.49154""","=""0.00006""","=""21""","=""""",,"=""2""","=""2""",,
Th,1,"=""464.51860""","=""0.00022""","=""12""","=""""",,"=""1""","=""2""",,
Th,1,"=""464.61802""","=""0.00006""","=""23""","=""""",,"=""6""","=""5 or 6""",,
Th,1,"=""464.65028""","=""0.00006""","=""23""","=""""",,"=""4""","=""5""",,
Th,1,"=""464.65403""","=""0.00003""","=""300""","=""""",,"=""4""","=""3""",,
Th,1,"=""464.668629""","=""0.000015""","=""670""","=""""",,"=""3""","=""2""",,
Th,1,"=""464.70670""","=""0.00004""","=""71""","=""""",,"=""1""","=""1""",,
Th,1,"=""464.725098""","=""0.000009""","=""1100""","=""""",,"=""3""","=""2""",,
Th,1,"=""464.79564""","=""0.00004""","=""91""","=""""",,"=""5""","=""4""",,
Th,1,"=""464.83514""","=""0.00005""","=""62""","=""""",,"=""3""","=""3""",,
Th,1,"=""464.88545""","=""0.00006""","=""19""","=""""",,"=""2""","=""2""",,
Th,1,"=""464.95373""","=""0.00006""","=""33""","=""""",,"=""5""","=""5""",,
Th,1,"=""464.997771""","=""0.000024""","=""310""","=""""",,"=""5""","=""5""",,
Th,1,"=""465.023413""","=""0.000011""","=""930""","=""""",,"=""1""","=""2""",,
Th,1,"=""465.02882""","=""0.00004""","=""110""","=""""",,"=""7""","=""6""",,
Th,1,"=""465.06303""","=""0.00003""","=""130""","=""""",,"=""3""","=""4""",,
Th,1,"=""465.10635""","=""0.00003""","=""120""","=""""",,"=""3""","=""3""",,
Th,1,"=""465.11171""","=""0.00003""","=""160""","=""""",,"=""2""","=""2""",,
Th,1,"=""465.15932""","=""0.00009""","=""120""","=""""",,"=""2""","=""3""",,
Th,1,"=""465.27458""","=""0.00005""","=""56""","=""""",,"=""3""","=""2""",,
Th,1,"=""465.28011""","=""0.00006""","=""35""","=""""",,"=""3""","=""4""",,
Th,1,"=""465.28210""","=""0.00006""","=""30""","=""""",,"=""2""","=""1""",,
Th,1,"=""465.40057""","=""0.00004""","=""120""","=""""",,"=""2""","=""1""",,
Th,1,"=""465.50322""","=""0.00003""","=""210*""","=""""",,"=""3""","=""2""",,
Th,1,"=""465.52101""","=""0.00022""","=""430""","=""""",,"=""3""","=""4""",,
Th,1,"=""465.53280""","=""0.00022""","=""4""","=""""",,"=""2""","=""3""",,
Th,1,"=""465.58180""","=""0.00022""","=""17""","=""""",,"=""4""","=""4""",,
Th,1,"=""465.59742""","=""0.00022""","=""13""","=""""",,"=""3""","=""3""",,
Th,1,"=""465.65519""","=""0.00003""","=""210""","=""""",,"=""3""","=""4""",,
Th,1,"=""465.67020""","=""0.00007""","=""39""","=""""",,"=""3""","=""2""",,
Th,1,"=""465.70330""","=""0.00022""","=""4""","=""""",,"=""3""","=""4""",,
Th,1,"=""465.73281""","=""0.00007""","=""27""","=""""",,"=""2""","=""2""",,
Th,1,"=""465.83783""","=""0.00003""","=""190""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""465.85262""","=""0.00003""","=""190""","=""""",,"=""3""","=""3""",,
Th,1,"=""465.89627""","=""0.00022""","=""15""","=""""",,"=""5""","=""5""",,
Th,1,"=""465.94586""","=""0.00007""","=""23""","=""""",,"=""5""","=""4""",,
Th,1,"=""465.956987""","=""0.000022""","=""490""","=""""",,"=""4""","=""3""",,
Th,1,"=""465.98046""","=""0.00007""","=""23""","=""""",,"=""2""","=""3""",,
Th,1,"=""466.00409""","=""0.00007""","=""30""","=""""",,"=""1""","=""2""",,
Th,1,"=""466.00963""","=""0.00009""","=""16""","=""""",,"=""4""","=""3""",,
Th,1,"=""466.02540""","=""0.00022""","=""88""","=""""",,"=""5""","=""5""",,
