obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Type,
455.4561,0.0020,50,,,,
455.4824,0.0020,400,,,,
455.5392,0.0020,300,,,,
455.6698,0.0020,20,,,,
456.2449,0.0020,10,,,,
456.58880,0.00010,600,,,,
456.6830,0.0020,400,,,,
456.7139,0.0020,150,,,,
456.7845,0.0020,100,,,,
457.30609,0.00020,50,,,,
457.3557,0.0020,500,,,,
457.3898,0.0020,300,,,,
457.50620,0.00004,3000,,,,
457.5858,0.0020,200,,,,
458.20350,0.00010,1500,,,,
458.2105,0.0020,150,,,,
458.24521,0.00004,1500,,,,
458.2556,0.0020,150,,,,
458.2980,0.0020,50,,,,
458.5876,0.0020,100,,,,
458.6145,0.0020,20,,,,
459.3243,0.0020,500,,,,
459.5249,0.0020,500,,,,
460.4095,0.0020,150,,,,
460.4680,0.0020,10,,,,
460.4938,0.0020,50,,,,
460.9365,0.0020,300,,,,
460.99100,0.00010,1500,,,,
461.43910,0.00010,1000,,,,
461.6911,0.0020,50,,,,
461.78370,0.00010,700,,,,
462.7799,0.0020,20,,,,
462.83113,0.00004,1500,,,,
462.8460,0.0020,300,,,,
463.61250,0.00010,700,,,,
463.66362,0.00020,700,,,,
463.6974,0.0020,500,,,,
463.9591,0.0020,300,,,,
464.0443,0.0020,700,,,,
464.3182,0.0020,50,,,,
464.3931,0.0020,20,,,,
464.4833,0.0020,400,,,,
464.54180,0.00004,3000,,,,
464.5885,0.0020,10,,,,
464.99040,0.00010,700,,,,
465.2101,0.0020,300,,,,
465.3699,0.0020,500,,,,
465.63936,0.00004,3000,,,,
466.11054,0.00004,1500,,,,
466.3092,0.0020,400,,,,
466.3518,0.0020,200,,,,
466.6654,0.0020,500,,,,
466.73643,0.00020,1000,,,,
467.08840,0.00010,700,,,,
467.82180,0.00010,3000,,,,
467.86107,0.00020,500,,,,
467.91350,0.00010,1500,,,,
468.03670,0.00020,1000,,,,
468.1200,0.0020,500,,,,
468.1930,0.0020,200,,,,
468.2146,0.0020,200,,,,
468.2910,0.0020,100,,,,
468.3238,0.0020,50,,,,
468.3764,0.0020,300,,,,
468.76710,0.00010,1000,,,,
468.8191,0.0020,20,,,,
469.1580,0.0020,150,,,,
469.5363,0.0020,200,,,,
469.6943,0.0020,50,,,,
470.0469,0.0020,50,,,,
470.25305,0.00020,1500,1.62e+05,C,,
470.43949,0.00004,15000,2.10e+06,C+,,
470.88594,0.00020,12000,3.26e+06,C+,,
471.00650,0.00020,10000,4.09e+06,C+,,
471.04881,0.00020,300,,,,
471.20633,0.00020,15000,,,,
471.21406,0.00020,150,,,,
471.21406,0.00020,150,,,,
471.2800,0.0020,100,,,,
471.43397,0.00020,700,,,,
471.51248,0.00020,300,,,,
471.52580,0.00020,300,,,,
471.53440,0.00010,15000,,,,
471.76085,0.00020,700,,,,
472.15337,0.00020,700,,,,
472.2150,0.0020,50,,,,
472.2714,0.0020,150,,,,
472.3810,0.0020,700,,,,
472.3810,0.0020,700,,,,
472.4162,0.0020,50,,,,
472.51450,0.00010,700,,,,
474.95754,0.00004,3000,,,,
475.06826,0.00020,300,,,,
475.1802,0.0020,300,,,,
475.27320,0.00004,5000,,,,
475.3123,0.0020,10,,,,
475.4440,0.0020,1000,,,,
475.87280,0.00010,1500,,,,
478.03380,0.00010,3000,,,,
478.0884,0.0020,300,,,,
478.1239,0.0020,20,,,,
478.4022,0.0020,20,,,,
478.89258,0.00010,10000,,,,
478.95982,0.00020,1000,,,,
479.02195,0.00020,5000,,,,
479.0728,0.0020,300,,,,
480.01110,0.00010,150,,,,
480.1076,0.0020,20,,,,
480.2363,0.0020,100,,,,
480.3225,0.0020,10,,,,
480.9500,0.0020,100,,,,
481.00640,0.00004,1500,,,,
481.06392,0.00020,1000,,,,
481.4338,0.0020,500,,,,
481.6900,0.0020,10,,,,
481.76386,0.00004,3000,,,,
481.87847,0.00020,1500,,,,
481.9937,0.0020,700,,,,
482.19218,0.00020,3000,,,,
482.31725,0.00020,1000,,,,
482.3370,0.0020,500,,,,
482.5529,0.0020,500,,,,
482.73380,0.00010,10000,,,,
482.75870,0.00010,3000,,,,
482.9288,0.0020,50,,,,
483.73139,0.00004,5000,,,,
484.2566,0.0020,100,,,,
484.2941,0.0020,500,,,,
484.5145,0.0020,150,,,,
484.5767,0.0020,50,,,,
484.9530,0.0020,300,,,,
485.1501,0.0020,600,,,,
485.26550,0.00010,1000,,,,
485.9604,0.0020,150,,,,
486.30810,0.00020,1000,,,,
486.43729,0.00020,300,,,,
486.55065,0.00020,1000,,,,
486.64760,0.00010,800,,,,
486.70189,0.00020,700,,,,
486.82766,0.00020,700,,,,
488.3403,0.0020,150,,,,
488.49170,0.00004,10000,4.15e+05,C+,,
488.50971,0.00020,1000,1.02e+05,C,,
488.8365,0.0020,50,,,,
489.20900,0.00010,5000,,,,
489.2228,0.0020,100,,,,
489.7924,0.0020,700,,,,
489.9013,0.0020,500,,,,
492.82350,0.00010,700,,,,
493.0944,0.0020,500,,,,
493.90410,0.00010,1000,,,,
494.49870,0.00010,1000,,,,
495.53905,0.00020,1500,2.69e+05,C,,
495.70335,0.00004,10000,1.06e+06,C+,,
495.71220,0.00010,1500,3.41e+05,C+,,
497.35555,0.00020,1000,,,,
497.4760,0.0020,500,,,,
497.5961,0.0020,100,,,,
497.9625,0.0020,50,,,,
499.49300,0.00010,1500,,,,
499.6209,0.0020,20,,,,
499.7482,0.0020,150,,,,
499.8502,0.0020,100,,,,
500.0395,0.0020,30,,,,
500.3561,0.0020,20,,,,
500.51587,0.00004,5000,4.37e+05,C+,,
500.53467,0.00030,500,1.53e+05,C,,
501.10030,0.00010,250,,,,
501.5187,0.0020,50,,,,
502.28700,0.00010,250,,,,
503.13484,0.00010,2500,1.34e+06,C+,,
503.15087,0.00030,20,9.8e+04,C,,
503.60016,0.00030,350,2.08e+05,C,,
503.75927,0.00030,30,2.26e+05,C,,
503.77512,0.00004,5000,4.44e+06,C+,,
504.1598,0.0020,10,,,,
504.2853,0.0020,150,,,,
504.5816,0.0020,150,,,,
504.6608,0.0020,30,,,,
